port_name,port_speed,port_description,port_optic,port_tagging,port_cktid,port_service_status,port_type,port_health_status
gig-0/0/0,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/1,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/2,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/3,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/4,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/5,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/6,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/7,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/8,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-0/0/9,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/0,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/1,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/2,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/3,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/4,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/5,400G,reserved,400G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/6,100G,reserved,100G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/7,100G,reserved,100G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/8,100G,reserved,100G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/9,100G,reserved,100G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/10,100G,reserved,100G-LR4,Tagged,CKT-001,Staged,Physical,4
gig-1/0/11,100G,reserved,100G-LR4,Tagged,CKT-001,Staged,Physical,4
ae0,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Intra-Pop,4
ae1,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Intra-Pop,4
ae2,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Intra-Pop,4
ae3,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Intra-Pop,4
ae4,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Intra-Pop,4
ae5,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Inter-Pop,4
ae6,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Inter-Pop,4
ae7,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Inter-Pop,4
ae8,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Inter-Pop,4
ae9,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Inter-Pop,4
ae10,400G,LAG bundle,NA,Tagged,CKT-1000,Staged,Inter-Pop,4
